t,X_t
0.3355,1.0536832455707332
0.336,1.0401403129461602
0.3365,1.0382411438975663
0.337,1.0361538399598584
0.3375,1.0271215798744138
0.338,1.0223360229622669
0.3385,1.0153302136509685
0.339,1.0275464755962178
0.3395,1.0342543308836938
0.34,1.0431985459451139
0.3405,1.0484316729582408
0.341,1.0412366842441705
0.3415,1.0381150036206264
0.342,1.0418025404676692
0.3425,1.0339997515428743
0.343,1.0391976910371654
0.3435,1.0379875450285685
0.34400000000000003,1.0358782017508104
0.34450000000000003,1.0410577707009856
0.34500000000000003,1.044435335167409
0.34550000000000003,1.0424028121764437
0.34600000000000003,1.0505738258919943
0.34650000000000003,1.043695398061778
0.34700000000000003,1.0482179812272934
0.34750000000000003,1.052576080465299
0.34800000000000003,1.0508681396226385
0.34850000000000003,1.0534287360959043
0.34900000000000003,1.0454024392425532
0.34950000000000003,1.0519874948284262
0.35000000000000003,1.0511171648525408
0.35050000000000003,1.0479828393185557
0.35100000000000003,1.0553998500342465
0.35150000000000003,1.051036469294431
0.352,1.0419606325141555
0.3525,1.0319135449895938
0.353,1.0363989994658702
0.3535,1.0282186207495023
0.354,1.040419591429943
0.3545,1.0268525354102165
0.355,1.038665579352768
0.3555,1.0404844636077006
0.356,1.040234481171308
0.3565,1.036978466607354
0.357,1.0400635068927346
0.3575,1.040210886866698
0.358,1.0480115336732085
0.3585,1.0491577672009804
0.359,1.050543127650278
0.3595,1.0484775849592742
0.36,1.0484743881398917
0.3605,1.050917999206054
0.361,1.0398185458711835
0.3615,1.0311750967561977
0.362,1.0365831261327159
0.3625,1.0381378685213623
0.363,1.0373083261096234
0.3635,1.03783871387663
0.364,1.0405757660547106
0.3645,1.037353508629518
0.365,1.0325390980383176
0.3655,1.0342715202036292
0.366,1.0281227172888727
0.3665,1.031291053236988
0.367,1.0202915475745384
0.3675,1.027644604599064
0.368,1.0312457733775786
0.3685,1.0333851586146958
0.369,1.040393787241094
0.3695,1.0519651449908125
0.37,1.0591398333874997
0.3705,1.0471430240461754
0.371,1.038941503245868
0.3715,1.0351527390477566
0.372,1.0357398812857646
0.3725,1.039623093859355
0.373,1.0351555986233234
0.3735,1.0368205791706904
0.374,1.0321612649654084
0.3745,1.0284786756721709
0.375,1.0194713094814192
0.3755,1.0137293943155403
0.376,1.0051276948428571
0.3765,0.9990685188125065
0.377,1.0066388915589257
0.3775,1.0007535329704556
0.378,1.0189102048572125
0.3785,1.022672206427731
0.379,1.0243554443234995
0.3795,1.0190365166761877
0.38,1.0241867468715167
0.3805,1.0207647840746743
0.381,1.022031338832895
0.3815,1.0396498296529582
0.382,1.0394063156817372
0.3825,1.047517359739439
0.383,1.04318151547982
0.3835,1.0433388517615767
0.384,1.0556093964198152
0.3845,1.0517645500461663
0.385,1.0642934132152586
0.3855,1.069380423998877
0.386,1.0659338311009257
0.3865,1.0705113166052487
0.387,1.0773591318972913
0.3875,1.0818369621013606
0.388,1.0715989820552303
0.3885,1.0670422001377573
0.389,1.0657141891530395
0.3895,1.0655505890583585
0.39,1.0700503075912946
0.3905,1.071567236375586
0.391,1.0629305560063071
0.3915,1.0658236743355374
0.392,1.0702550488473395
0.3925,1.0743345997094078
0.393,1.0818988607234692
0.3935,1.0877882334482039
0.394,1.091149036477789
0.3945,1.090950477985061
0.395,1.0800810371241587
0.3955,1.083262801158407
0.396,1.08494785551527
0.3965,1.0870572921001396
0.397,1.0787749590527584
0.3975,1.0718260739195058
0.398,1.0792112728469578
0.3985,1.0792479006261886
0.399,1.0841214265327392
0.3995,1.0846010884085278
0.4,1.085089195939488
0.4005,1.0916706720666878
0.401,1.0884797621113476
0.4015,1.0894033604799396
0.402,1.0865788151691511
0.4025,1.0839476788297107
0.403,1.082163819978165
0.4035,1.0839485290686337
0.404,1.0810271143594405
0.4045,1.0897484147533745
0.405,1.0840228354936994
0.4055,1.0830592053067292
0.406,1.0804017516791056
0.40650000000000003,1.0904073700339691
0.40700000000000003,1.0919998811336307
0.40750000000000003,1.099191705028188
0.40800000000000003,1.0894782838292456
0.40850000000000003,1.0915460157633516
0.40900000000000003,1.097784975525617
0.40950000000000003,1.098592490867242
0.41000000000000003,1.105993469282088
0.41050000000000003,1.102758409193683
0.41100000000000003,1.1124557032112097
0.41150000000000003,1.1280960413864598
0.41200000000000003,1.12584180622499
0.41250000000000003,1.1230386799434284
0.41300000000000003,1.1329806827084044
