t,sigma_t,S_t
0.263,0.03369460784712504,100.74819970618044
0.2635,0.03169996873409476,100.92594950006857
0.264,0.031769849573918624,101.17382322216022
0.2645,0.03209273899328148,102.00714533542804
0.265,0.031017848595812733,101.54912266045251
0.2655,0.031785781230689744,101.74259690067571
0.266,0.029810963355281578,101.37092095089847
0.2665,0.029749711401534536,101.59238620509879
0.267,0.02836389503102162,101.2364893712056
0.2675,0.02764492574459555,101.081419506027
0.268,0.02771632480476884,100.97456611604015
0.2685,0.02677384360800379,101.34540826324316
0.269,0.026371577649661058,101.69002868429925
0.2695,0.02748824270831105,101.23410357405223
0.27,0.026865395853997238,101.25877003133097
0.2705,0.027803957412788627,100.99948115947198
0.271,0.026558605764314142,100.529593139925
0.2715,0.02715796214575266,100.45411280591097
0.272,0.028770864998996996,100.34393987165974
0.2725,0.025975362884012292,101.2715275293485
0.273,0.02513483432031067,101.4335942850998
0.2735,0.02577085785166906,100.94227731731361
0.274,0.02557354434613113,100.74167184677258
0.2745,0.025993333694480106,101.1136426694416
0.275,0.025361117584348274,101.87897406651554
0.2755,0.02547557918628684,101.30767239143601
0.276,0.025330682014491332,100.63200515967772
0.2765,0.026599470789134622,101.30608516492495
0.277,0.0268979242858294,101.45408081769484
0.2775,0.027289002716457598,101.13508129955041
0.278,0.026851646135618256,101.33885207764664
0.2785,0.026335373399064315,100.36420406646526
0.279,0.025884979182571773,100.36944797614365
0.2795,0.026331872137864514,100.49183433487097
0.28,0.025894112998860477,100.8328739251341
0.2805,0.026228072356561365,100.46904851917036
0.281,0.028503444048102074,100.50424298257722
0.28150000000000003,0.029507275580574668,100.15714028013734
0.28200000000000003,0.029147333208467963,100.25939479774767
0.28250000000000003,0.030539319461258978,99.92071587079552
0.28300000000000003,0.030075126840240895,99.76536796955968
0.28350000000000003,0.027718964174780213,99.38410438550585
0.28400000000000003,0.02661150477345488,99.62899389347906
0.28450000000000003,0.024584358355335165,99.94495494377068
0.28500000000000003,0.024237757782033055,99.86673957028276
0.28550000000000003,0.024280636663410834,99.88402798063441
0.28600000000000003,0.026056576834349025,99.38387656852463
0.28650000000000003,0.026431502533642088,99.28035092033907
0.28700000000000003,0.02621290331356308,99.26620235563145
0.28750000000000003,0.027134388927588945,100.21201208522903
0.28800000000000003,0.024710360314546598,99.80557391514981
0.2885,0.024981749874720797,100.32322287539657
0.289,0.025821604768849298,100.68068869749438
0.2895,0.02424903305309256,100.78623947659273
0.29,0.025467434463066763,101.40744202928056
0.2905,0.02585160388154419,101.54615053704407
0.291,0.025424907671289333,101.69228798680388
0.2915,0.02612361647710733,101.67709524213441
0.292,0.028606392797617168,102.13079017831534
0.2925,0.02882982629837694,102.5583912841585
0.293,0.029129307114952496,102.31886539257381
0.2935,0.028619686284426512,101.80781019909118
0.294,0.0276723103629757,101.73371016564276
0.2945,0.02861738150624262,101.4350299564165
0.295,0.02766296731099755,101.41471319657852
0.2955,0.027761320819533492,101.88549240159038
0.296,0.0272457997965991,101.71597962658522
0.2965,0.027795294146426792,101.70397126898858
0.297,0.028186764380407785,101.73003862061383
0.2975,0.0293729976284821,102.05812892228265
0.298,0.0288025778670387,101.18341453841586
0.2985,0.02851212923812332,100.95450034020666
0.299,0.027420699602614385,101.039074786037
0.2995,0.026946036632276356,101.492092682317
0.3,0.027381088923874,101.3129025104952
0.3005,0.02824029136364253,100.61350073350775
0.301,0.027218370757601026,100.85182153905184
0.3015,0.028199952493268975,100.6194698501179
0.302,0.029744775972314456,100.17400828085094
0.3025,0.030238479034922945,99.93681912293003
0.303,0.032442411118433906,99.86911207261798
0.3035,0.031518803753402616,99.62986134645281
0.304,0.030049212250430456,98.76151924797085
0.3045,0.027995757851557664,99.10888039218263
0.305,0.029692942572820326,99.58557272418275
0.3055,0.030464806387495002,99.83955448775147
0.306,0.030414027235412366,99.400236428806
0.3065,0.03075593732833833,99.32610971302776
0.307,0.02944573016668523,99.32754267326081
0.3075,0.03227689498411586,99.55973045648443
0.308,0.03244421450303311,99.8310210945513
0.3085,0.03258772994612272,99.53981319646999
0.309,0.03347772981191486,99.57674052356758
0.3095,0.034077901416898676,99.76701958017257
0.31,0.03436403087990905,100.37054837275528
0.3105,0.03338950151629358,100.66767167134232
0.311,0.033977332008279564,100.99625329944486
0.3115,0.03631352559362781,101.03518844651454
0.312,0.03803893614728029,101.64645867573911
0.3125,0.04012630666411526,101.83216974844645
0.313,0.03943916738448375,101.44347866361558
0.3135,0.03812165497763967,102.07972285347505
0.314,0.03795972166425532,102.39483841441145
0.3145,0.03803561323052418,102.20129574987527
0.315,0.039470071214999396,101.99167674779713
0.3155,0.03721527791224602,102.13013158470949
0.316,0.03919884174736724,102.33827488192993
0.3165,0.03899018734907318,102.43175446813244
0.317,0.038426256487128344,102.57664714786401
0.3175,0.03709771657303261,103.34508842583416
0.318,0.03496390984597132,103.82615602536356
0.3185,0.036004002103652906,103.91306626603426
0.319,0.03610331982465009,104.33223750019427
0.3195,0.03446495829966825,103.87871469436585
0.32,0.03286042073388278,104.05446455904423
0.3205,0.032462807219414754,104.8217494653571
0.321,0.03449137000794348,104.73385978099337
0.3215,0.03417622425293088,104.36938094623925
0.322,0.0323208625950448,104.0922186580243
0.3225,0.032036014878881545,103.64042417732092
0.323,0.031720508460160814,103.31905454261155
0.3235,0.02851082766488172,103.17073527858214
0.324,0.02846656215643662,102.62734461601036
0.3245,0.028222488157602248,102.63749685378284
0.325,0.029024742849028586,102.9894817231394
0.3255,0.03115429111761145,102.63745267124524
0.326,0.03250145411283659,103.25700245875684
0.3265,0.032187517167885586,103.4737507607797
0.327,0.030867519998145614,103.90568981881692
0.3275,0.033914115559703285,103.64131662073966
0.328,0.033996400971234214,104.01016000315694
0.3285,0.03402263504039909,103.54607493637306
0.329,0.034001750071627236,103.93041788860147
0.3295,0.03425577106973079,104.00821292252381
0.33,0.034085153063910405,104.2505184829506
0.3305,0.03338355660252946,103.7487433565696
0.331,0.03272321420880724,103.37349876883744
0.3315,0.03269438380165928,103.62735899227202
0.332,0.032046195246453496,103.23416275306231
0.3325,0.03120209379792051,103.429704987098
0.333,0.031341404603969836,102.87532767806599
0.3335,0.03105158483351154,103.22485716044382
0.334,0.0328428526990838,102.7276762083065
0.3345,0.029630802372606804,102.96170062797135
0.335,0.030906744661002808,103.21376139805486
0.3355,0.03238992187902636,102.93518083002381
0.336,0.02989815598626451,103.18039789455754
0.3365,0.029515818172169,103.28842518594703
0.337,0.029103466006977424,103.0787480122295
0.3375,0.027509051589393322,102.6862956036147
0.338,0.026662379181798267,101.94296917907293
0.3385,0.02546590853306318,102.07719124895064
0.339,0.027363511606645748,101.51130314197125
0.3395,0.02842075658218119,101.55116331137775
0.34,0.0298761266748371,101.45437371333537
0.3405,0.03072808671522976,101.72473669639564
0.341,0.02941433152133618,101.60837096634985
0.3415,0.02882675067304199,101.48406026590055
0.342,0.02940088298981206,101.77009751150455
0.3425,0.02801104792105578,101.90490739077099
0.343,0.028829527980780343,102.02955549923453
0.3435,0.028572552241731795,102.21541844952228
0.34400000000000003,0.028164678209023717,101.62624558727283
0.34450000000000003,0.02898282514945593,101.9189249786565
0.34500000000000003,0.02950671189312044,102.16062784672893
0.34550000000000003,0.029106509455919354,101.76576784446908
0.34600000000000003,0.030449658422955505,101.67508070843607
0.34650000000000003,0.02919852340314004,101.66355348590592
0.34700000000000003,0.029920753760881526,101.61537528064727
0.34750000000000003,0.030624083245493643,101.75065838637153
0.34800000000000003,0.030274764947379285,102.32463635938005
0.34850000000000003,0.03067001646257479,102.7593939912119
0.34900000000000003,0.029214205497572206,102.23546059232373
0.34950000000000003,0.030289852490381703,102.48261524771084
0.35000000000000003,0.030088545487910803,103.01672810069641
0.35050000000000003,0.029495167763503253,103.17540602044559
